"run_id","field_id","collection_date","notes","analyte_name","concentration","site_code"
"33","LDP.LATR CNTL2",2009-03-04,NA,"NItrate/Nitrite",0.0335,"LDP"
"33","LDP.LATR CNTL3",2009-03-04,NA,"Ammonia",0.325,"LDP"
"33","LDP.LATR CNTL3",2009-03-04,NA,"NItrate/Nitrite",0.0522,"LDP"
"33","LDP.LATR1",2009-03-04,NA,"Ammonia",2.79,"LDP"
"33","LDP.LATR1",2009-03-04,NA,"NItrate/Nitrite",0.741,"LDP"
"33","LDP.LATR2",2009-03-04,NA,"Ammonia",5.21,"LDP"
"34","LDP.LATR2",2009-03-04,NA,"NItrate/Nitrite",1.61,"LDP"
"33","MCN.IP1",2009-03-04,NA,"Ammonia",5.24,"MCN"
"33","MCN.IP1",2009-03-04,NA,"NItrate/Nitrite",2.01,"MCN"
"33","MCN.IP2",2009-03-04,NA,"Ammonia",4.87,"MCN"
"33","MCN.IP2",2009-03-04,NA,"NItrate/Nitrite",1.54,"MCN"
"33","MCN.LATR1",2009-03-04,NA,"Ammonia",4.99,"MCN"
"34","MCN.LATR1",2009-03-04,NA,"NItrate/Nitrite",1.9,"MCN"
"33","MCN.LATR2",2009-03-04,NA,"Ammonia",16.9,"MCN"
"33","MCN.LATR2",2009-03-04,NA,"NItrate/Nitrite",6.28,"MCN"
"33","MCS.IP1",2009-03-04,NA,"Ammonia",5.95,"MCS"
"33","MCS.IP1",2009-03-04,NA,"NItrate/Nitrite",2.02,"MCS"
"33","MCS.IP1.6MONTH",2009-03-04,NA,"Ammonia",6.61,"MCS"
"34","MCS.IP1.6MONTH",2009-03-04,NA,"NItrate/Nitrite",4.2,"MCS"
"33","MCS.IP2",2009-03-04,NA,"Ammonia",5.13,"MCS"
"33","MCS.IP2",2009-03-04,NA,"NItrate/Nitrite",1.92,"MCS"
"33","MCS.IP2.6MONTH",2009-03-04,NA,"Ammonia",7.63,"MCS"
"34","MCS.IP2.6MONTH",2009-03-04,NA,"NItrate/Nitrite",5.6,"MCS"
"33","MCS.LATR1",2009-03-04,NA,"Ammonia",6.43,"MCS"
"33","MCS.LATR1",2009-03-04,NA,"NItrate/Nitrite",2.1,"MCS"
"33","MCS.LATR2",2009-03-04,NA,"Ammonia",7.43,"MCS"
"33","MCS.LATR2",2009-03-04,NA,"NItrate/Nitrite",3.04,"MCS"
"33","SNE.IP1",2009-03-04,NA,"Ammonia",2.29,"SNE"
"33","SRR.IP1",2009-03-04,NA,"Ammonia",5.68,"SRR"
"34","SRR.IP1",2009-03-04,NA,"NItrate/Nitrite",2,"SRR"
"33","SRR.IP2",2009-03-04,NA,"Ammonia",6.18,"SRR"
"33","SRR.IP2",2009-03-04,NA,"NItrate/Nitrite",2.06,"SRR"
"33","SRR.LATR1",2009-03-04,NA,"Ammonia",6.67,"SRR"
"33","SRR.LATR1",2009-03-04,NA,"NItrate/Nitrite",1.84,"SRR"
"33","SRR.LATR2",2009-03-04,NA,"Ammonia",7.92,"SRR"
"33","SRR.LATR2",2009-03-04,NA,"NItrate/Nitrite",2.22,"SRR"
"33","UMP.IP1",2009-03-04,NA,"Ammonia",6.06,"UMP"
"33","UMP.IP1",2009-03-04,NA,"NItrate/Nitrite",2.13,"UMP"
"33","UMP.IP2",2009-03-04,NA,"Ammonia",6.17,"UMP"
"33","UMP.IP2",2009-03-04,NA,"NItrate/Nitrite",2.36,"UMP"
"33","UMP.LATR1",2009-03-04,NA,"Ammonia",9.4,"UMP"
"33","UMP.LATR1",2009-03-04,NA,"NItrate/Nitrite",2.92,"UMP"
"33","UMP.LATR2",2009-03-04,NA,"Ammonia",5.78,"UMP"
"33","UMP.LATR2",2009-03-04,NA,"NItrate/Nitrite",1.79,"UMP"
"33","WTM.IP CNTL1",2009-03-04,NA,"Ammonia",0.878,"WTM"
"33","WTM.IP CNTL2",2009-03-04,NA,"Ammonia",0.927,"WTM"
"33","WTM.IP CNTL3",2009-03-04,NA,"Ammonia",1.02,"WTM"
"33","WTM.IP1",2009-03-04,NA,"Ammonia",6.73,"WTM"
"33","WTM.IP2",2009-03-04,NA,"Ammonia",3.85,"WTM"
"33","WTM.LATR CNTL2",2009-03-04,NA,"Ammonia",0.249,"WTM"
"33","WTM.LATR CNTL3",2009-03-04,NA,"Ammonia",0.219,"WTM"
"33","WTM.LATR1",2009-03-04,NA,"Ammonia",10.8,"WTM"
"33","WTM.LATR2",2009-03-04,NA,"Ammonia",3.97,"WTM"
"43","LDP.IP CNTL1",2009-06-02,NA,"Ammonia",-0.208,"LDP"
"43","LDP.IP CNTL1",2009-06-02,NA,"NItrate/Nitrite",0.0107,"LDP"
"43","LDP.IP CNTL2",2009-06-02,NA,"Ammonia",-0.165,"LDP"
"43","LDP.IP CNTL2",2009-06-02,NA,"NItrate/Nitrite",0.0143,"LDP"
"43","LDP.IP CNTL3",2009-06-02,NA,"Ammonia",-0.199,"LDP"
"43","LDP.IP CNTL3",2009-06-02,NA,"NItrate/Nitrite",0.0115,"LDP"
"43","LDP.IP1",2009-06-02,NA,"Ammonia",3.62,"LDP"
"43","LDP.IP1",2009-06-02,NA,"NItrate/Nitrite",2.58,"LDP"
"43","LDP.IP2",2009-06-02,NA,"Ammonia",1.8,"LDP"
"43","LDP.IP2",2009-06-02,NA,"NItrate/Nitrite",2.01,"LDP"
"43","LDP.LATR CNTL1",2009-06-02,NA,"Ammonia",-0.127,"LDP"
"43","LDP.LATR CNTL1",2009-06-02,NA,"NItrate/Nitrite",0.0163,"LDP"
"43","LDP.LATR CNTL2",2009-06-02,NA,"Ammonia",-0.0498,"LDP"
"43","LDP.LATR CNTL2",2009-06-02,NA,"NItrate/Nitrite",0.00905,"LDP"
"43","LDP.LATR CNTL3",2009-06-02,NA,"Ammonia",0.107,"LDP"
"43","LDP.LATR CNTL3",2009-06-02,NA,"NItrate/Nitrite",0.0558,"LDP"
"43","LDP.LATR1",2009-06-02,NA,"Ammonia",2.84,"LDP"
"43","LDP.LATR1",2009-06-02,NA,"NItrate/Nitrite",1.88,"LDP"
"43","LDP.LATR2",2009-06-02,NA,"Ammonia",2.64,"LDP"
"43","LDP.LATR2",2009-06-02,NA,"NItrate/Nitrite",1.83,"LDP"
"43","MCN.IP1",2009-06-02,NA,"Ammonia",3.21,"MCN"
"43","MCN.IP1",2009-06-02,NA,"NItrate/Nitrite",1.8,"MCN"
"43","MCN.IP2",2009-06-02,NA,"Ammonia",2.15,"MCN"
"43","MCN.IP2",2009-06-02,NA,"NItrate/Nitrite",2.35,"MCN"
"43","MCN.LATR1",2009-06-02,NA,"Ammonia",3.04,"MCN"
"43","MCN.LATR1",2009-06-02,NA,"NItrate/Nitrite",1.9,"MCN"
"43","MCN.LATR2",2009-06-02,NA,"Ammonia",8.52,"MCN"
"43","MCN.LATR2",2009-06-02,NA,"NItrate/Nitrite",7.41,"MCN"
"43","MCS.IP1",2009-06-02,NA,"Ammonia",1.34,"MCS"
"43","MCS.IP1",2009-06-02,NA,"NItrate/Nitrite",1.53,"MCS"
"43","MCS.IP2",2009-06-02,NA,"Ammonia",1.65,"MCS"
